area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2,subtype
123.0,200000.0,good,3.0,2.0,installed,,,3294,429.0,0,0,,house,house,1,350,Flemish Brabant,Flanders_zone,3,1626.0162601626016,1
255.0,698000.0,just renovated,4.0,4.0,installed,,,2070,1210.0,0,0,,house,villa,0,0,Antwerp,Flanders_zone,3,2737.2549019607845,2
234.0,499000.0,as new,,5.0,,,,8800,744.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,2132.4786324786323,2
219.0,717000.0,as new,,4.0,,,,8000,760.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,3273.972602739726,1
156.0,429000.0,good,4.0,4.0,installed,,,8800,419.0,0,0,,house,villa,1,90,West Flanders,Flanders_zone,3,2750.0,2
140.0,279000.0,good,2.0,5.0,installed,,,9000,85.0,1,40,,house,house,0,0,East Flanders,Flanders_zone,3,1992.857142857143,1
256.0,210000.0,good,3.0,4.0,installed,,,7080,201.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,820.3125,1
850.0,849000.0,good,2.0,9.0,,,,3300,615.0,1,20,,house,mixed,0,0,Flemish Brabant,Flanders_zone,3,998.8235294117648,4
161.0,295500.0,as new,,4.0,hyper equipped,,,5590,533.0,0,0,,house,house,1,631,Namur,Wallonia_zone,2,1835.4037267080746,1
61.0,42000.0,to renovate,,1.0,,,,1460,194.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,688.5245901639345,1
160.0,229000.0,good,2.0,3.0,installed,,,6230,480.0,1,10,,house,house,1,400,Hainaut,Wallonia_zone,2,1431.25,1
140.0,104500.0,to renovate,2.0,3.0,,,,4031,100.0,1,11,,house,house,1,31,Liege,Wallonia_zone,2,746.4285714285714,1
176.0,425000.0,as new,4.0,3.0,hyper equipped,,1.0,1400,735.0,1,40,,house,house,1,500,Walloon Brabant,Wallonia_zone,2,2414.7727272727275,1
310.0,549000.0,as new,4.0,3.0,installed,,1.0,2490,1389.0,0,0,,house,villa,0,0,Antwerp,Flanders_zone,3,1770.967741935484,2
120.0,745000.0,good,2.0,3.0,,,,3000,60.0,1,12,,house,house,0,0,Flemish Brabant,Flanders_zone,3,6208.333333333333,1
170.0,265000.0,good,3.0,3.0,semi equipped,,,8580,742.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1558.8235294117646,1
